Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_UF,Barragem_Municipio,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Submetida à algum regulamento?,Houve alguma fiscalização no período deste RSB?
Barragem 02 - Canindé,40.0,0.44,rejeito,150.0,contenção de rejeitos de mineração,MG,ITATIAIUÇU,baixo,médio,sim,sim,sim,não,não,não,não,não,inativa,sim,sim,Sim
Barragem 2 - Decantação,12.0,0.064,terra,102.0,contenção de rejeitos de mineração,MG,ITABIRITO,baixo,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Dique de Contenção de Sedimentos 02,12.0,0.63414,terra,204.0,contenção de rejeitos de mineração,MG,CONCEIÇÃO DO MATO DENTRO,baixo,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
Dique 01,15.0,0.002,terra,340.0,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,médio,sim,sim,sim,não,não,sim,não,não,operação,sim,sim,Não
Dique 02,20.0,0.003,terra,115.0,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,médio,sim,sim,sim,não,não,sim,não,não,operação,sim,sim,Não
Barragem de Rejeito Max,196.0,1.9590723799999998,terra-enrocamento,641.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,médio,médio,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
BRAVO 1,20.0,0.94103988,rejeito,170.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,médio,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Não
BACIA DE REJEITOS 14/15,8.0,0.14,terra,385.0,contenção de rejeitos de mineração,PA,ITAITUBA,médio,médio,sim,não,não,não,não,não,não,não,operação,sim,sim,Não
BACIA DE REJEITOS 16,7.0,0.15,terra,610.0,contenção de rejeitos de mineração,PA,ITAITUBA,baixo,médio,sim,sim,não,não,não,não,não,não,inativa,sim,sim,Não
Taboquinha 01 - Crente,18.0,0.356,terra-enrocamento,1900.0,contenção de rejeitos de mineração,RO,ITAPUÃ DO OESTE,baixo,médio,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Sim
Taboquinha 02 - Serra Azul,18.0,0.2598,terra-enrocamento,1600.0,contenção de rejeitos de mineração,RO,ITAPUÃ DO OESTE,baixo,médio,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Sim
Taboquinha 03,15.0,2.78481,terra-enrocamento,390.0,contenção de rejeitos de mineração,RO,ITAPUÃ DO OESTE,médio,médio,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Sim
Taboquinha 04,20.0,0.24198859,terra-enrocamento,610.0,contenção de rejeitos de mineração,RO,ITAPUÃ DO OESTE,médio,médio,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Sim
Dique Norte da PDE 1,25.0,0.0252,terra,38.0,contenção de rejeitos de mineração,MG,ITABIRITO,baixo,médio,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Dique 1 (Barragem 2 -Britagem),14.0,0.074135,terra-enrocamento,95.0,contenção de rejeitos de mineração,SP,SANTA ISABEL,médio,médio,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Dique 3 (Barragem 1 - Portaria),20.0,0.17,terra-enrocamento,195.0,contenção de rejeitos de mineração,SP,SANTA ISABEL,médio,médio,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Bacia 6 A,11.0,0.5,terra-enrocamento,1314.0,contenção de rejeitos de mineração,PA,BARCARENA,baixo,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
III,11.0,0.016846,terra,87.7,contenção de rejeitos de mineração,MG,NOVA LIMA,baixo,médio,não,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
Peneirinha,40.0,0.642689,terra,280.0,contenção de rejeitos de mineração,MG,NOVA LIMA,baixo,médio,sim,sim,sim,sim,não,não,não,não,inativa,sim,sim,Não
Dique BIII-2,9.0,0.02390403,terra-enrocamento,60.1,contenção de rejeitos de mineração,MG,ITATIAIUÇU,médio,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Dique BIII-3,17.0,0.03620219,terra-enrocamento,90.16,contenção de rejeitos de mineração,MG,ITAÚNA,médio,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Dique BIII-4,6.0,0.0045254,terra-enrocamento,83.54,contenção de rejeitos de mineração,MG,ITAÚNA,médio,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Dique BIII-5,4.0,0.01042,terra-enrocamento,65.35,contenção de rejeitos de mineração,MG,ITAÚNA,médio,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Bacia de Finos da Mina do Cerro,10.0,0.654,rejeito,700.0,contenção de rejeitos de mineração,RS,CACHOEIRA DO SUL,médio,médio,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Não
B1,10.0,3.0,rejeito,10.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,médio,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
Barragem de Contenção de Sedimentos do Josino,9.0,0.0425,terra-enrocamento,150.0,contenção de rejeitos de mineração,MG,OURO PRETO,baixo,médio,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
Igarapé Mutum,5.0,13.374319,rejeito,8663.0,contenção de rejeitos de mineração,RO,ARIQUEMES,médio,médio,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
Jacaré Inferior,8.0,5.0,terra,3372.0,contenção de rejeitos de mineração,RO,ARIQUEMES,médio,médio,não se aplica,sim,não,não,não,sim,não,não,operação,sim,sim,Sim
Jacaré Superior,10.0,10.44563,terra,5483.62,contenção de rejeitos de mineração,RO,ARIQUEMES,médio,médio,não se aplica,sim,não,não,não,sim,não,não,operação,sim,sim,Sim
Rio Santa Cruz,10.0,4.455613,terra,2827.0,contenção de rejeitos de mineração,RO,ARIQUEMES,médio,médio,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
Bacia 02 Pé da Serra,4.25,0.027525,terra,351.51,contenção de rejeitos de mineração,MS,CORUMBÁ,baixo,médio,sim,sim,não,não,não,sim,não,não,operação,sim,sim,Sim
Bacia 03-04 Pé da Serra,4.2,0.125,terra,578.58,contenção de rejeitos de mineração,MS,CORUMBÁ,baixo,médio,sim,sim,sim,não,não,sim,não,não,operação,sim,sim,Sim
Bacia B-9,5.25,0.00803289,terra-enrocamento,195.0,contenção de rejeitos de mineração,MS,CORUMBÁ,baixo,médio,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
Barragem B-6,11.0,0.103,terra-enrocamento,483.0,contenção de rejeitos de mineração,MS,CORUMBÁ,baixo,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
DIQUE DE SEGURANÇA,8.37,0.612263,enrocamento,243.0,contenção de rejeitos de mineração,BA,BARROCAS,baixo,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Barragem RG2W,61.0,0.632531,terra-enrocamento,186.0,contenção de rejeitos de mineração,MG,CAETÉ,baixo,médio,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Lagoa 1,5.0,0.3794,terra-enrocamento,350.0,contenção de rejeitos de mineração,SP,SÃO SIMÃO,baixo,médio,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Pinheirinho,13.5,1.0,terra-enrocamento,140.0,contenção de rejeitos de mineração,PR,CERRO AZUL,médio,médio,sim,sim,sim,não,não,sim,não,não,operação,sim,sim,Sim
Bacia de Decantação Final No Bota Fora,22.0,0.33,terra-enrocamento,473.0,contenção de rejeitos de mineração,PR,CERRO AZUL,médio,médio,sim,sim,sim,não,não,sim,não,não,operação,sim,sim,Sim
Casarão,15.3,0.049413,terra,191.4,contenção de rejeitos de mineração,MT,VILA BELA DA SANTÍSSIMA TRINDADE,baixo,médio,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
Cabeceiras,16.5,0.161418,terra,279.6,contenção de rejeitos de mineração,MT,VILA BELA DA SANTÍSSIMA TRINDADE,baixo,médio,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
Reservatório de Água Industrial Barro Alto,14.0,2.0,terra,1566.75,contenção de rejeitos de mineração,GO,BARRO ALTO,baixo,médio,não,não,não,sim,não,não,não,não,operação,sim,sim,Não
Barragem de Água do Igarapé Bahia,14.7,0.6,terra,200.0,contenção de rejeitos de mineração,PA,PARAUAPEBAS,baixo,médio,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
LE - Lagoa de Espessamento,11.5,4.836511,terra-enrocamento,2776.0,contenção de rejeitos de mineração,PA,JURUTI,baixo,médio,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
LD1 - Lagoa de Disposição 01,24.0,3.217,terra,1755.0,contenção de rejeitos de mineração,PA,JURUTI,baixo,médio,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
LD2 - Lagoa de Disposição 02,24.0,3.51460337,terra,1755.0,contenção de rejeitos de mineração,PA,JURUTI,baixo,médio,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
LD3 - Lagoa de Disposição 03,14.8,3.603064,terra,3670.0,contenção de rejeitos de mineração,PA,JURUTI,baixo,médio,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
Dique B - Pilha de Estéril Alegria E (Dique Oficina),15.0,0.0126,terra,135.0,contenção de rejeitos de mineração,MG,OURO PRETO,baixo,médio,não,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
Barragem Norte,7.0,1.1716,terra,310.0,contenção de rejeitos de mineração,ES,ANCHIETA,baixo,médio,não,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
Bacia 17,14.5,0.145,terra,620.0,contenção de rejeitos de mineração,PA,ITAITUBA,baixo,médio,sim,sim,não,não,não,não,não,não,operação,sim,sim,Não
TP3,22.0,7.54,terra,3385.0,contenção de rejeitos de mineração,PA,ORIXIMINÁ,baixo,médio,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
BARRAGEM DIQUE 2,25.0,0.396,rejeito,300.0,contenção de rejeitos de mineração,MG,ITABIRITO,médio,médio,não se aplica,sim,não,não,não,não,não,não,inativa,sim,sim,Não
Barragem B1 - Mina Ipê,55.0,0.571815,terra,176.0,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,médio,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
Barragem Mãe D'Água,48.0,4.06,terra-enrocamento,180.0,contenção de rejeitos de mineração,MG,NOVA ERA,médio,médio,não,não,não,não,não,não,não,não,inativa,sim,sim,Não
Barragem do Bandeira,14.6,3.954275,terra,190.0,contenção de rejeitos de mineração,PA,MARABÁ,baixo,médio,sim,sim,não,sim,não,não,não,não,operação,sim,sim,Não
Bom Retiro 2,23.58,2.632,enrocamento,350.0,contenção de rejeitos de mineração,SP,LEME,baixo,médio,não,sim,sim,sim,não,não,não,não,inativa,sim,sim,Não
MBR II SUL,14.04,0.142,rejeito,229.81,contenção de rejeitos de mineração,SP,IBIÚNA,baixo,médio,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Não
OURO FINO,20.0,2.9,terra-enrocamento,300.0,contenção de rejeitos de mineração,MT,POCONÉ,médio,médio,não se aplica,sim,sim,não,não,sim,não,não,operação,sim,sim,Não
Santa Tereza II,5.0,0.3,terra-enrocamento,460.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,médio,médio,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Não
BR ISMAEL,14.0,3.0,terra-enrocamento,150.0,contenção de rejeitos de mineração,MT,POCONÉ,médio,médio,não se aplica,não,não,não,não,não,não,não,operação,sim,sim,Não
Dique de Contenção de Sedimentos 04,14.6,0.0813609,terra,208.0,contenção de rejeitos de mineração,MG,CONCEIÇÃO DO MATO DENTRO,baixo,médio,sim,sim,não,não,não,não,não,não,operação,sim,sim,Não
Bacia de Rejeitos,25.0,0.625,rejeito,200.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,médio,baixo,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Não
ITAPEVA,20.0,0.3,terra,130.0,contenção de rejeitos de mineração,SP,RIBEIRÃO BRANCO,médio,baixo,não se aplica,sim,não,não,não,não,não,não,inativa,sim,sim,Não
Tanque Fundo,154.0,2.0,rejeito,1264.43,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,médio,baixo,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
BARRAGEM T03,13.0,3.5,terra,2760.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,médio,baixo,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
BACIA DE DECANTAÇÃO - PLANTA I,20.0,0.0105,terra,160.0,contenção de rejeitos de mineração,SP,SANTANA DE PARNAÍBA,médio,baixo,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Não
Barragem do Serginho,30.0,2.1,terra-enrocamento,235.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,médio,baixo,não,sim,não,não,não,não,não,não,operação,sim,sim,Sim
Barragem de Rejeito 1,15.0,2.6692605,terra,1357.12,contenção de rejeitos de mineração,MT,POCONÉ,médio,baixo,não,sim,não,não,não,não,não,não,operação,sim,sim,Não
Dique B4 Ipê,25.0,0.006053,terra-enrocamento,52.7,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,baixo,não se aplica,não,não,sim,não,não,não,não,inativa,sim,sim,Não
Pera Montante,30.0,0.641566,terra,165.0,contenção de rejeitos de mineração,PA,PARAUAPEBAS,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Não
PDE Fosforoso,21.0,0.02,enrocamento,74.0,contenção de rejeitos de mineração,MG,MARIANA,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Sim
Barragem 02,15.0,0.24,terra-enrocamento,170.0,contenção de rejeitos de mineração,MG,ARCOS,baixo,baixo,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03,16.7,0.038492,terra,60.0,contenção de rejeitos de mineração,MG,BELO HORIZONTE,baixo,baixo,sim,não,sim,não,não,não,não,não,operação,sim,sim,Não
Alcindo Vieira,24.0,0.7706,terra,190.0,contenção de rejeitos de mineração,MG,ITABIRA,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Não
Jirau,15.0,1.4,concreto convencional,111.0,contenção de rejeitos de mineração,MG,ITABIRA,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Não
Elefante,17.0,0.201441,terra,68.0,contenção de rejeitos de mineração,MG,RIO PIRACICABA,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Não
PDE 3,34.5,0.043,enrocamento,162.0,contenção de rejeitos de mineração,MG,SÃO GONÇALO DO RIO ABAIXO,baixo,baixo,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
Barragem BD-2,21.0,2.0,terra,220.0,contenção de rejeitos de mineração,MG,TAPIRA,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Sim
Menezes I,16.85,0.008068,terra,60.0,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Não
SANDRO GOMES,19.0,1.9,terra,1820.55,contenção de rejeitos de mineração,MT,POCONÉ,baixo,baixo,não se aplica,sim,não,não,não,não,não,não,operação,sim,sim,Sim
Pilha Barragem,25.0,2.08,rejeito,530.0,contenção de rejeitos de mineração,MG,NOVA LIMA,baixo,baixo,sim,sim,sim,não,não,sim,não,não,inativa,sim,sim,Não
Barragem B1,47.0,0.19,terra,200.0,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,baixo,sim,sim,não,sim,não,não,não,não,inativa,sim,sim,Não
Barragem B2,27.0,0.18,terra,240.0,contenção de rejeitos de mineração,MG,BRUMADINHO,baixo,baixo,sim,sim,não,sim,não,não,não,não,inativa,sim,sim,Não
Dique Oeste,16.7,0.085,terra,200.0,contenção de rejeitos de mineração,MG,ITATIAIUÇU,baixo,baixo,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
Dique de Rejeitos,25.0,0.25,terra,800.0,contenção de rejeitos de mineração,GO,AMERICANO DO BRASIL,baixo,baixo,sim,não,não,não,não,não,não,não,inativa,sim,sim,Não
DIQUE DA PILHA DA VILA II,28.0,0.018556,terra,140.0,contenção de rejeitos de mineração,MG,CONGONHAS,baixo,baixo,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
SP6,16.4,0.94,terra,1460.0,contenção de rejeitos de mineração,PA,ORIXIMINÁ,baixo,baixo,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Sim
DIQUE DO BICHENTO IIIA,15.5,0.116696,terra,210.0,contenção de rejeitos de mineração,MG,CONGONHAS,baixo,baixo,não se aplica,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
Barragem da Mina II,25.0,0.022,terra,143.0,contenção de rejeitos de mineração,MG,ARAXÁ,baixo,baixo,sim,sim,não,sim,não,não,não,não,operação,sim,sim,Não
Barragem B4,38.0,0.5,rejeito,333.7,contenção de rejeitos de mineração,MG,ITABIRITO,baixo,baixo,sim,sim,sim,não,não,não,não,não,inativa,sim,sim,Sim
B5,26.4,0.225,terra,70.0,contenção de rejeitos de mineração,MG,OURO PRETO,baixo,baixo,não se aplica,sim,não,não,não,sim,não,não,inativa,sim,sim,Sim
Barragem de rejeito não magnético 02,15.19,0.49678235,terra-enrocamento,876.6,contenção de rejeitos de mineração,BA,MARACÁS,baixo,baixo,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Malaquias,25.0,0.005,terra-enrocamento,35.0,contenção de rejeitos de mineração,MG,ANTÔNIO DIAS,baixo,baixo,não se aplica,não,não,não,não,sim,não,não,inativa,sim,sim,Não
VILA NOVA,15.5,0.4403,terra,94.0,contenção de rejeitos de mineração,AP,MAZAGÃO,baixo,baixo,não se aplica,sim,sim,sim,não,não,não,não,inativa,sim,sim,Não
Tarumã,15.0,1.0,terra,684.6,contenção de rejeitos de mineração,MT,POCONÉ,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Sim
Barragem Tanque Fundo,15.0,2.0,rejeito,15.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,baixo,não se aplica,não,não,sim,não,não,não,não,operação,sim,sim,Não
DIQUE BATATEIRO DE BAIXO,16.0,0.0183,terra,125.0,contenção de rejeitos de mineração,MG,CONGONHAS,baixo,baixo,sim,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
TB01,15.0,1.0,terra,1053.43,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,baixo,não,sim,não,sim,não,não,não,não,operação,sim,sim,Sim
Barragem de Mercês,29.5,0.237,terra-enrocamento,204719.0,contenção de rejeitos de mineração,MG,MERCÊS,baixo,baixo,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Não
Barragem MCSA,6.65,64.445213,enrocamento,460.02,contenção de rejeitos de mineração,BA,JAGUARARI,baixo,baixo,não se aplica,sim,não,não,não,não,não,não,inativa,sim,sim,Não
Guará 3,18.0,0.98,terra,470.0,contenção de rejeitos de mineração,SP,GUARAREMA,baixo,baixo,não se aplica,sim,sim,sim,não,não,não,não,operação,sim,sim,Não
EB-2,50.0,0.204,terra,110.0,contenção de rejeitos de mineração,MG,SANTO ANTÔNIO DO GRAMA,baixo,baixo,sim,sim,não,não,não,não,não,não,operação,sim,sim,Não
MD 01/2012,25.0,0.9211547,terra,688.0,contenção de rejeitos de mineração,SP,DESCALVADO,baixo,baixo,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Não
Barragem de Rejeitos Bom Futuro,15.0,2.0,rejeito,210.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,baixo,não se aplica,não,não,não,não,não,não,não,inativa,sim,sim,Não
BARRAGEM T01,16.0,1.5,terra,1170.0,contenção de rejeitos de mineração,MT,POCONÉ,baixo,baixo,não se aplica,sim,sim,não,não,sim,não,não,operação,sim,sim,Sim
Barragem de Rejeitos Bom Futuro,15.0,2.0,terra-enrocamento,210.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,baixo,não se aplica,sim,sim,não,não,não,não,não,inativa,sim,sim,Não
BARRAGEM T02,10.0,4.455,terra,6337.0,contenção de rejeitos de mineração,MT,CUIABÁ,baixo,baixo,sim,sim,sim,não,não,não,não,não,operação,sim,sim,Sim
Fernandinho,19.0,1.02,terra,130.0,contenção de rejeitos de mineração,MG,NOVA LIMA,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,inativa,sim,sim,Sim
II,20.0,0.018241,terra,60.7,contenção de rejeitos de mineração,MG,NOVA LIMA,baixo,baixo,não,sim,não,sim,não,não,não,não,operação,sim,sim,Sim
Barragem de Rejeito 1,27.5,1.54617538,terra-enrocamento,140.0,contenção de rejeitos de mineração,MG,ITAÚNA,baixo,baixo,sim,sim,não,não,não,não,não,não,operação,sim,sim,Não
11 - DES,15.0,1.140224,terra-enrocamento,350.0,contenção de rejeitos de mineração,SP,DESCALVADO,baixo,baixo,não se aplica,sim,não,não,não,sim,não,não,operação,sim,sim,Não
12 - DES,15.0,1.83148928,terra-enrocamento,170.0,contenção de rejeitos de mineração,SP,DESCALVADO,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,operação,sim,sim,Não
CAVA B,21.0,1.99,terra-enrocamento,840.0,contenção de rejeitos de mineração,MG,LAGAMAR,baixo,baixo,sim,sim,não,não,não,não,não,não,operação,sim,sim,Não
CAVA C,48.0,2.93,terra-enrocamento,131.4,contenção de rejeitos de mineração,MG,LAGAMAR,baixo,baixo,sim,sim,não,não,não,não,não,não,operação,sim,sim,Não
Barragem Morro Pelado 3,15.0,0.1,terra-enrocamento,8.0,contenção de rejeitos de mineração,GO,SÃO LUÍS DE MONTES BELOS,baixo,baixo,não se aplica,não,não,não,não,não,não,não,inativa,sim,sim,Não
"Bacia Contenção de Sedimentos 1, 2 e 3",225.0,0.0405,enrocamento,225.0,contenção de rejeitos de mineração,MG,CONSELHEIRO LAFAIETE,baixo,baixo,não se aplica,sim,não,sim,não,não,não,não,inativa,sim,sim,Não
BRAVO 1,30.01,3.0,rejeito,170.0,contenção de rejeitos de mineração,MT,NOSSA SENHORA DO LIVRAMENTO,baixo,baixo,não,não,não,não,não,não,não,não,operação,sim,sim,Não
Bom Retiro 1,17.95,1.5,enrocamento,450.0,contenção de rejeitos de mineração,SP,LEME,baixo,baixo,não,sim,não,não,não,não,não,não,inativa,sim,sim,Não
Dique Petrobrás,6.0,0.0129,terra,485.0,contenção de rejeitos de mineração,SE,ROSÁRIO DO CATETE,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
3 Kalunga,3.5,1.965306,terra,356.0,contenção de rejeitos de mineração,PA,PARAUAPEBAS,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,inativa,não,sim,Não
PDE Temporária II,12.0,0.009798,enrocamento,53.0,contenção de rejeitos de mineração,MG,MARIANA,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII,2.0,0.000875,terra-enrocamento,13.0,contenção de rejeitos de mineração,BA,SANTALUZ,não se aplica,baixo,não se aplica,não,não,não,não,não,não,não,operação,não,sim,Não
BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII ,2.0,0.0011,terra-enrocamento,26.0,contenção de rejeitos de mineração,BA,SANTALUZ,não se aplica,baixo,não se aplica,não,não,não,não,não,não,não,operação,não,sim,Não
BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI,2.0,0.001125,terra-enrocamento,20.0,contenção de rejeitos de mineração,BA,SANTALUZ,não se aplica,baixo,não se aplica,não,não,não,não,não,não,não,operação,não,sim,Não
Barragem de Contenção de Sólidos Carreados,8.0,0.038,rejeito,180.0,contenção de rejeitos de mineração,MG,NOVA LIMA,não se aplica,baixo,não,não,não,não,não,sim,não,não,operação,não,sim,Não
BARRAGEM B1,8.0,0.0205,enrocamento,60.0,contenção de rejeitos de mineração,MG,CARANAÍBA,não se aplica,baixo,não se aplica,não,não,não,não,não,não,não,operação,não,sim,Não
Igarapé,8.1,2.396278,terra,517.0,contenção de rejeitos de mineração,PA,OURILÂNDIA DO NORTE,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Usina,8.5,0.494416,terra,380.0,contenção de rejeitos de mineração,PA,OURILÂNDIA DO NORTE,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Dique 04,5.9,0.0877,terra,353.0,contenção de rejeitos de mineração,PA,SÃO FÉLIX DO XINGU,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Dique 05,10.85,0.4055549,terra,460.0,contenção de rejeitos de mineração,PA,SÃO FÉLIX DO XINGU,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Alto Jacutinga,11.8,0.092434,terra,225.15,contenção de rejeitos de mineração,MG,CONGONHAS,não se aplica,baixo,não se aplica,não,não,não,não,não,não,não,operação,não,sim,Não
Dique 06,10.5,0.078,terra,271.0,contenção de rejeitos de mineração,PA,SÃO FÉLIX DO XINGU,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Dique Provisorio 01,6.2,0.0285,terra,220.0,contenção de rejeitos de mineração,PA,SÃO FÉLIX DO XINGU,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Dique Provisorio 02,4.8,0.0213,terra,178.0,contenção de rejeitos de mineração,PA,SÃO FÉLIX DO XINGU,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Gambá,12.64,0.005,concreto convencional,30.26,contenção de rejeitos de mineração,MG,CONGONHAS,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Prata,10.75,0.02,concreto convencional,8.6,contenção de rejeitos de mineração,MG,OURO PRETO,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
Cata Branca,9.0,0.035,terra,90.0,contenção de rejeitos de mineração,MG,ITABIRITO,não se aplica,baixo,não se aplica,não,não,sim,não,não,não,não,operação,não,sim,Não
BARRAGEM  USINA BENEFICIAMENTO L7 - IIB,2.0,0.0073,rejeito,407.0,contenção de rejeitos de mineração,MG,UBERABA,não se aplica,baixo,sim,não,não,não,não,não,não,não,operação,não,sim,Não
BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA,2.0,0.0043,rejeito,199.0,contenção de rejeitos de mineração,MG,UBERABA,não se aplica,baixo,sim,não,não,não,não,não,não,não,operação,não,sim,Não
