Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_UF,Barragem_Municipio,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Submetida à algum regulamento?,Houve alguma fiscalização no período deste RSB?
Barragem Esperança_I,4.5,0.132438,terra,90.5,aquicultura,AC,Bujari,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Esperança_II,4.5,0.307674,terra,187.0,aquicultura,AC,Bujari,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Esperança _III,4.5,0.241452,terra,208.0,aquicultura,AC,Bujari,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Barragem Esperança_IV,5.0,0.178763,terra,233.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Esperança_V,6.0,0.201375,terra,156.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Esperança_VI,5.5,0.106064,terra,92.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Esperança_VII,7.0,0.162995,terra,100.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Fé em Deus_I,3.0,0.0156,terra,78.0,outros,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Fé em Deus_II,3.0,0.005112,terra,61.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Geber,3.5,0.014204,terra,51.0,outros,AC,Sena Madureira,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Nova Lucena,5.0,0.0407,terra,61.0,outros,AC,Sena Madureira,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Pai e Filho_I,3.5,0.0179,terra,97.0,outros,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Pai e Filho_II,4.0,0.0469,terra,71.0,outros,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem São Luiz,4.5,0.0541,terra,89.0,outros,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Xiburema,3.0,0.038582,terra,85.0,outros,AC,Sena Madureira,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Santa Cruz_I,3.0,0.018,terra,100.0,irrigação,AC,Porto Acre,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Santa Cruz_II,3.5,0.0073,terra,52.8,irrigação,AC,Porto Acre,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Santa Cruz_III,3.0,0.005,terra,50.8,irrigação,AC,Porto Acre,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem 3G_I,3.0,0.0082,terra,84.0,irrigação,AC,Acrelândia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem 3G_II,3.0,0.012,terra,60.0,irrigação,AC,Acrelândia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Tucano_I_AC1,3.0,0.08,terra,73.5,aquicultura,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Tucano_II_AC2,3.0,0.126,terra,155.0,aquicultura,AC,Bujari,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Tucano_III_AC3,3.0,0.232,terra,108.9,aquicultura,AC,Bujari,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Buriti_I,5.0,0.014,terra,97.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Buriti_II,5.5,0.08343,terra,170.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Buriti_III,4.0,0.01952,terra,130.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Buriti_IV,4.5,0.05958,terra,140.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Buriti_V,5.5,0.1302,terra,140.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem São Domingos_I,5.0,0.0476,terra,137.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem São Domingos_II,4.5,0.01343,terra,121.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
