date,id,username,text,pm
2019-01-16 23:53:48+00:00,1085686587151781888,mycomfor,"#TheresaMay Survives No-Confidence Vote, But U.K. #Brexit Plans Remain As Unclear As Ever https://www.mycomfor.com/Artikel/May-Survives-No-Confidence-Vote-But-UK-Brexit-Plans-Remain-As-Unclear-As-Ever_181926#.XD_D66LavRI.twitter",may
2019-01-16 23:53:39+00:00,1085686552158785536,6O79SmithW,"Under pressure: ""Hilary Benn has bowed to pressure from party colleagues and pulled his amendment to Theresa May’s Brexit deal"" ",may
2019-01-16 23:53:19+00:00,1085686468054601728,shr3kster,Driving home to Brussels with two crates of beer on the back seat. Cheers. Theresa #brexit #BrexitShambles,may
2019-01-16 23:53:16+00:00,1085686454003646464,OccuWorld,Brexit Vote: Will the EU Throw UK PM Theresa May a Lifeline? ,may
2019-01-16 23:53:09+00:00,1085686425910165505,nigel_coley,BBC News - Brexit: Theresa May says MPs must 'work together' to deliver Brexit https://www.bbc.co.uk/news/uk-politics-46900367 Put your self interest aside !!! You are useless Mrs May ( just being polite ) soundbites and waffle - we have had enough of this !,may
2019-01-16 23:53:07+00:00,1085686417664212992,Tomaz_ribeiro,"Assistindo todo esse rolê do Reino Unido, brexit, Theresa May e afins eu fico imaginando se o Brasil tivesse optado pelo parlamentarismo a vida política do país seria aínda mais enlouquecedora",may
2019-01-16 23:53:06+00:00,1085686413297967104,unlidnews,https://unlid.co.uk/can-theresa-mays-brexit-deal-survive/ #brexit #BrexitDeal,may
2019-01-16 23:53:01+00:00,1085686390250196992,MetaphorMirror,RT @Reuters: A rocky two days for #Brexit ended with Theresa May saying she was ... https://twitter.com/i/web/status/1085683115643863040,may
2019-01-16 23:52:58+00:00,1085686380389294080,davwain1,(2/2) the union via remarks made in the #UK @HouseofCommons. #Brexit #StateOfTheUnion #trump #theresamay #voteofnoconfidence #VoteofConfidence #325to306 #ukpoli #uspoli #uspolitics #ukpolitics #TrumpShutdown #GovernmentShutdown #donaldtrump #ToriesOut #BrexitChaos #notmypresident,may
2019-01-16 23:52:44+00:00,1085686320167555072,benpritch1985,Please just cancel this Brexit crap waste of time and uk be worse off time for a people’s vote and get rid of the tories and Theresa may please @UKLabour @jeremycorbyn,may
2019-01-16 23:52:21+00:00,1085686223526612992,noticiadiadehoy,Sorprendente: Theresa May no se enfrenta a ningún voto de confianza después de la derrota del acuerdo Brexit - en vivo #noticiasdeldiadehoy #Negocios Negocios https://is.gd/VervC9,may
2019-01-16 23:51:59+00:00,1085686133609119756,wilkie4,Theresa May's government survives a no-confidence vote after its crushing Brexit defeat https://www.cnbc.com/2019/01/16/brexit-uk-government-survives-no-confidence-vote.html,may
2019-01-16 23:51:43+00:00,1085686063698345985,ZurichTimes,#LedByDonkeys #BackDoorBrexit #IrishBackStop #BrexitShambles Theresa #May Survives Vote of No Confidence 1/16/19 #TheresaMay says 'door remains open' for #JeremyCorbyn to join #Brexit crisis talks https://youtu.be/MgFtoDdx9tc,may
2019-01-16 23:51:42+00:00,1085686061781708800,fionamcke,She's alive! Steve Bell on Theresa May's Brexit defeat – cartoon ,may
2019-01-16 23:51:37+00:00,1085686040587890688,Hispantv,"La primera ministra británica, #TheresaMay, supera la moción de censura contra su Gobierno, pero la incertidumbre en torno al ‘Brexit’ se mantiene. Nota Completa: http://htv.mx/1vfV",may
2019-01-16 23:51:36+00:00,1085686035185655808,_joebelcher,The DUP want a NO-deal Brexit but they won’t admit it. In backing the government in the no confidence vote both the ERG and DUP have kept Theresa &amp; Co in power to attempt to run down the clock and leave without a deal. Will they get what they want? The clock is ticking.,may
2019-01-16 23:51:34+00:00,1085686027191148544,jacwillcox,Theresa May’s #brexit deal was defeated in UK Parliament – what happens now? Read more here: ,may
2019-01-16 23:51:30+00:00,1085686008673419269,LuzGomezD,Theresa May survives no-confidence vote after Parliament rejects Brexit deal http://f24.my/4HFF.T via @FRANCE24,may
2019-01-16 23:51:23+00:00,1085685979787288577,hamsterbones1,"May won tonight with 52-48. If that's not evidence we're living in a political satire show from the future, I don't know what is. #brexit #TheresaMay #NoConfidenceMotion #PeoplesVote #BollocksToBrexit #LedByDonkeys",may
2019-01-16 23:51:22+00:00,1085685978159874048,dowley_ann,Theresa May refuses to rule out UK staying in the customs union after Brexit as plan B talks get underway. That is NOT Brexit!!! https://www.telegraph.co.uk/politics/2019/01/16/theresa-may-refuses-rule-uk-staying-customs-union-brexit-plan/?WT.mc_id=tmg_share_tw via @Telegraph,may
2019-01-16 23:51:14+00:00,1085685942759747584,BiznatchEnt,Theresa May survives no-confidence vote after Brexit defeat https://www.thestar.com/news/world/2019/01/16/uk-government-faces-no-confidence-vote-after-brexit-defeat.html via @torontostar,may
2019-01-16 23:51:12+00:00,1085685932966244352,Carol38553,"British PM Theresa May survives no-confidence vote, day after major Brexit defeat https://fxn.ws/2FCYS1N #FoxNews",may
